YEAR_MONTH,"REGIONAL_OFFICE_NAME","REGIONAL_OFFICE_CODE","ICB_NAME","ICB_CODE","PCO_NAME","PCO_CODE","PRACTICE_NAME","PRACTICE_CODE","ADDRESS_1","ADDRESS_2","ADDRESS_3","ADDRESS_4","POSTCODE","BNF_CHEMICAL_SUBSTANCE","CHEMICAL_SUBSTANCE_BNF_DESCR","BNF_CODE","BNF_DESCRIPTION","BNF_CHAPTER_PLUS_CODE",QUANTITY,ITEMS,TOTAL_QUANTITY,ADQUSAGE,NIC,ACTUAL_COST,"UNIDENTIFIED"
202404,"MIDLANDS","Y60","NHS LINCOLNSHIRE INTEGRATED CARE BOARD","QJM","NHS LINCOLNSHIRE ICB - 71E","71E00","CAYTHORPE & ANCASTER MEDICAL PRACTICE","C83020","12 ERMINE STREET","ANCASTER","GRANTHAM","LINCOLNSHIRE","NG32 3PP","0205052C0","Candesartan cilexetil","0205052C0BBADAD","Amias 16mg tablets","02: Cardiovascular System","56.",1,"56.",112,"25.44","22.61386","N"
202404,"MIDLANDS","Y60","NHS LINCOLNSHIRE INTEGRATED CARE BOARD","QJM","NHS LINCOLNSHIRE ICB - 71E","71E00","CAYTHORPE & ANCASTER MEDICAL PRACTICE","C83020","12 ERMINE STREET","ANCASTER","GRANTHAM","LINCOLNSHIRE","NG32 3PP","0205052C0","Candesartan cilexetil","0205052C0BBAEAH","Amias 32mg tablets","02: Cardiovascular System","28.",4,"112.",448,"64.52","57.35246","N"
202404,"MIDLANDS","Y60","NHS LINCOLNSHIRE INTEGRATED CARE BOARD","QJM","NHS LINCOLNSHIRE ICB - 71E","71E00","CAYTHORPE & ANCASTER MEDICAL PRACTICE","C83020","12 ERMINE STREET","ANCASTER","GRANTHAM","LINCOLNSHIRE","NG32 3PP","0205052N0","Losartan potassium","0205052N0BBACAD","Cozaar 100mg tablets","02: Cardiovascular System","28.",3,"84.",168,"48.54","43.14768","N"
202404,"MIDLANDS","Y60","NHS LINCOLNSHIRE INTEGRATED CARE BOARD","QJM","NHS LINCOLNSHIRE ICB - 71E","71E00","CAYTHORPE & ANCASTER MEDICAL PRACTICE","C83020","12 ERMINE STREET","ANCASTER","GRANTHAM","LINCOLNSHIRE","NG32 3PP","0205052X0","Valsartan with diuretic","0205052X0BBAAAA","Co-Diovan 160mg/12.5mg tablets","02: Cardiovascular System","28.",1,"28.",28,"22.09","19.63602","N"
202404,"MIDLANDS","Y60","NHS LINCOLNSHIRE INTEGRATED CARE BOARD","QJM","NHS LINCOLNSHIRE ICB - 71E","71E00","CAYTHORPE & ANCASTER MEDICAL PRACTICE","C83020","12 ERMINE STREET","ANCASTER","GRANTHAM","LINCOLNSHIRE","NG32 3PP","0206010K0","Isosorbide mononitrate","0206010K0BBAEAH","Elantan LA25 capsules","02: Cardiovascular System","28.",2,"56.",0,"7.82","6.95127","N"
202404,"MIDLANDS","Y60","NHS LINCOLNSHIRE INTEGRATED CARE BOARD","QJM","NHS LINCOLNSHIRE ICB - 71E","71E00","CAYTHORPE & ANCASTER MEDICAL PRACTICE","C83020","12 ERMINE STREET","ANCASTER","GRANTHAM","LINCOLNSHIRE","NG32 3PP","0206020A0","Amlodipine","0206020A0AAAAAA","Amlodipine 5mg tablets","02: Cardiovascular System","14.",1,"14.",14,"0.32","0.28445","N"
202404,"MIDLANDS","Y60","NHS LINCOLNSHIRE INTEGRATED CARE BOARD","QJM","NHS LINCOLNSHIRE ICB - 71E","71E00","CAYTHORPE & ANCASTER MEDICAL PRACTICE","C83020","12 ERMINE STREET","ANCASTER","GRANTHAM","LINCOLNSHIRE","NG32 3PP","0206020A0","Amlodipine","0206020A0AAAAAA","Amlodipine 5mg tablets","02: Cardiovascular System","42.",1,"42.",42,"0.95","0.84446","N"
202404,"MIDLANDS","Y60","NHS LINCOLNSHIRE INTEGRATED CARE BOARD","QJM","NHS LINCOLNSHIRE ICB - 71E","71E00","CAYTHORPE & ANCASTER MEDICAL PRACTICE","C83020","12 ERMINE STREET","ANCASTER","GRANTHAM","LINCOLNSHIRE","NG32 3PP","0206020A0","Amlodipine","0206020A0AAAAAA","Amlodipine 5mg tablets","02: Cardiovascular System","60.",1,"60.",60,"1.35","1.20003","N"
202404,"MIDLANDS","Y60","NHS LINCOLNSHIRE INTEGRATED CARE BOARD","QJM","NHS LINCOLNSHIRE ICB - 71E","71E00","CAYTHORPE & ANCASTER MEDICAL PRACTICE","C83020","12 ERMINE STREET","ANCASTER","GRANTHAM","LINCOLNSHIRE","NG32 3PP","0206020A0","Amlodipine","0206020A0AAAAAA","Amlodipine 5mg tablets","02: Cardiovascular System","28.",421,"11788.",11788,"265.23","235.67867","N"
202404,"MIDLANDS","Y60","NHS LINCOLNSHIRE INTEGRATED CARE BOARD","QJM","NHS LINCOLNSHIRE ICB - 71E","71E00","CAYTHORPE & ANCASTER MEDICAL PRACTICE","C83020","12 ERMINE STREET","ANCASTER","GRANTHAM","LINCOLNSHIRE","NG32 3PP","0206020A0","Amlodipine","0206020A0AAAAAA","Amlodipine 5mg tablets","02: Cardiovascular System","7.",74,"518.",518,"11.84","10.52469","N"
202404,"MIDLANDS","Y60","NHS LINCOLNSHIRE INTEGRATED CARE BOARD","QJM","NHS LINCOLNSHIRE ICB - 71E","71E00","CAYTHORPE & ANCASTER MEDICAL PRACTICE","C83020","12 ERMINE STREET","ANCASTER","GRANTHAM","LINCOLNSHIRE","NG32 3PP","0206020A0","Amlodipine","0206020A0AAAAAA","Amlodipine 5mg tablets","02: Cardiovascular System","56.",4,"224.",224,"5.04","4.48011","N"
202404,"MIDLANDS","Y60","NHS LINCOLNSHIRE INTEGRATED CARE BOARD","QJM","NHS LINCOLNSHIRE ICB - 71E","71E00","CAYTHORPE & ANCASTER MEDICAL PRACTICE","C83020","12 ERMINE STREET","ANCASTER","GRANTHAM","LINCOLNSHIRE","NG32 3PP","0206020A0","Amlodipine","0206020A0AAABAB","Amlodipine 10mg tablets","02: Cardiovascular System","7.",82,"574.",1148,"13.94","12.3914","N"
202404,"MIDLANDS","Y60","NHS LINCOLNSHIRE INTEGRATED CARE BOARD","QJM","NHS LINCOLNSHIRE ICB - 71E","71E00","CAYTHORPE & ANCASTER MEDICAL PRACTICE","C83020","12 ERMINE STREET","ANCASTER","GRANTHAM","LINCOLNSHIRE","NG32 3PP","0206020A0","Amlodipine","0206020A0AAABAB","Amlodipine 10mg tablets","02: Cardiovascular System","10.",1,"10.",20,"0.24","0.21334","N"
